Rank,feature,q_anova,q_kw,log_q_anova,log_q_kw,score_min,score_max,score_geomean
5247,"GYRO_X__fft_coefficient__attr_""angle""__coeff_28",0.675250625047198,0.6441165740896004,0.1705350051347012,0.19103552564917023,0.6441165740896004,0.675250625047198,0.6594999008773712
5248,"ADXL_X__fft_coefficient__attr_""angle""__coeff_10",0.6549747272709711,0.6445723788709335,0.18377545728838848,0.19072830875380062,0.6445723788709335,0.6549747272709711,0.6497527360907307
5249,"ADXL_Y__fft_coefficient__attr_""real""__coeff_9",0.5787884398974525,0.6445723788709335,0.23748015160082875,0.19072830875380062,0.5787884398974525,0.6445723788709335,0.6107954171141899
5250,"MMA_Z__fft_coefficient__attr_""angle""__coeff_21",0.6656417940437125,0.6445723788709335,0.17675941755759314,0.19072830875380062,0.6445723788709335,0.6656417940437125,0.6550223772228486
5251,"MMA_X__fft_coefficient__attr_""real""__coeff_76",0.1767011224744688,0.6445723788709335,0.752760691676487,0.19072830875380062,0.1767011224744688,0.6445723788709335,0.3374857965345098
5252,"GYRO_Z__fft_coefficient__attr_""imag""__coeff_26",0.95748891840068,0.6456724708567653,0.018866243683397368,0.18998772994830307,0.6456724708567653,0.95748891840068,0.7862723674158585
5253,"ADXL_X__fft_coefficient__attr_""real""__coeff_13",0.66625539063028,0.6456724708567653,0.1763592641019362,0.18998772994830307,0.6456724708567653,0.66625539063028,0.6558831940901461
5254,"MMA_Z__fft_coefficient__attr_""imag""__coeff_58",0.6946490612040408,0.6466367302744418,0.15823454688511226,0.18933963021865652,0.6466367302744418,0.6946490612040408,0.6702130986672757
5255,"GYRO_Y__fft_coefficient__attr_""real""__coeff_36",0.32943959960887575,0.6469201646234911,0.4822241985543632,0.1891493116076555,0.32943959960887575,0.6469201646234911,0.4616504305342636
5256,"MMA_Y__fft_coefficient__attr_""real""__coeff_89",0.9011410928837534,0.6469201646234911,0.04520720562074034,0.1891493116076555,0.6469201646234911,0.9011410928837534,0.7635223272160091
5257,"ADXL_Z__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",0.43457406283023914,0.6469201646234911,0.3619361977252242,0.1891493116076555,0.43457406283023914,0.6469201646234911,0.5302213917480486
